County Name,State,Cases,Deaths,CasesPerCap,DeathsPerCap,TotalPop,IncomePerCap,Poverty,Unemployment
santa cruz county,california,69856,277,0.25563651134621224,0.0010136754701514658,273263,36388,14.7,6.7
shasta county,california,36824,612,0.2058138040118713,0.0034205422565518474,178919,26455,18.1,6.8
sierra county,california,312,5,0.10814558058925476,0.0017331022530329288,2885,31750,12.3,5.3
siskiyou county,california,5558,97,0.12768205835056284,0.002228348265563979,43530,24605,20.7,9.1
solano county,california,116145,476,0.2670116625783655,0.0010943006706040034,434981,31934,11.5,8.5
sonoma county,california,116047,578,0.2316570947193593,0.0011538238881469549,500943,37767,10.7,5.9
stanislaus county,california,147374,1869,0.2751136864270727,0.0034889972446442304,535684,24007,17.2,11.8
sutter county,california,26094,242,0.27299833652427735,0.0025318309741271983,95583,24849,16.7,10.5
tehama county,california,14606,241,0.2309358546650434,0.003810457412999826,63247,22631,20.9,10.1
trinity county,california,1489,25,0.11421339265168368,0.0019176190841451255,13037,23575,19.9,9.6
tulare county,california,129885,1603,0.28309165687682675,0.003493828586623192,458809,18962,27.1,10.0
tuolumne county,california,17064,212,0.31659214456668955,0.003933282621198909,53899,31570,13.6,7.9
ventura county,california,223443,1708,0.2635456940863424,0.002014545300141301,847834,35771,10.3,6.6
yolo county,california,50820,459,0.2390348298487806,0.0021589332329907574,212605,30615,19.4,7.2
yuba county,california,20329,134,0.27234606934247896,0.0017951878248754086,74644,22814,18.5,9.9
adams county,colorado,168289,1506,0.3449605411499436,0.0030870144511632672,487850,27487,12.2,5.1
alamosa county,colorado,6080,69,0.37197919853166106,0.0042214744570204955,16345,19217,27.8,9.9
arapahoe county,colorado,199619,1425,0.31856874748648284,0.002274134552163061,626612,36951,9.9,5.2
archuleta county,colorado,2948,16,0.23411689961880558,0.0012706480304955528,12592,29344,11.6,5.4
baca county,colorado,1086,20,0.30326724378665176,0.005585032113934655,3581,22853,19.5,4.5
bent county,colorado,3032,51,0.5222183947640372,0.00878401653461936,5806,14028,24.5,9.3
boulder county,colorado,92576,478,0.29223882670101203,0.0015089241181632795,316782,42119,13.1,5.2
chaffee county,colorado,5729,58,0.3044425550005314,0.0030821553831437984,18818,28907,9.6,2.5
cheyenne county,colorado,322,9,0.15138692994828395,0.004231311706629055,2127,23698,11.8,8.1
clear creek county,colorado,1626,12,0.17565085880954953,0.0012963163011774873,9257,41257,6.8,3.2
conejos county,colorado,2350,60,0.2884497360991776,0.007364674113170492,8147,19047,21.1,9.4
costilla county,colorado,720,18,0.19845644983461963,0.004961411245865491,3628,20737,29.6,9.1
crowley county,colorado,3564,33,0.6463547334058759,0.005984766050054407,5514,14393,24.6,21.4
custer county,colorado,667,21,0.14805771365149833,0.004661487236403996,4505,26032,15.7,8.7
delta county,colorado,7364,171,0.24370387530198231,0.0056590660886256085,30217,25546,16.5,8.5
dolores county,colorado,367,8,0.21140552995391704,0.004608294930875576,1736,23190,14.1,0.4
douglas county,colorado,102146,527,0.31827132797407615,0.0016420514737957251,320940,48725,3.6,3.3
eagle county,colorado,18984,41,0.3533484718758143,0.0007631314447381156,53726,40450,7.7,2.7
elbert county,colorado,5894,47,0.24005213212234758,0.0019142263674500062,24553,42522,4.8,3.6
el paso county,colorado,240901,1959,0.35698239249821434,0.0029029705435178847,674826,31217,11.1,6.8
fremont county,colorado,19107,217,0.41001266067251774,0.004656552434497114,46601,20919,15.8,6.2
garfield county,colorado,18199,110,0.3140736905686427,0.0018983518854085771,57945,31483,9.6,5.4
gilpin county,colorado,986,4,0.17020542033488692,0.0006904885206283445,5793,45110,5.6,3.3
grand county,colorado,4083,30,0.2760089231393226,0.002027986209693774,14793,32919,13.1,4.6
